,Year,Location,Question,Value,Sample_Size,Total,Age,Education,Gender,Income,Race/Ethnicity
3085,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,32.8,2097.0,,,,Male,,
3086,2018,Colorado,Percent of adults aged 18 years and older who have obesity,23.6,976.0,,,,,"$35,000 - $49,999",
3087,2018,Montana,Percent of adults aged 18 years and older who have obesity,28.5,1466.0,,,Some college or technical school,,,
3089,2018,Colorado,Percent of adults aged 18 years and older who have obesity,21.8,4115.0,,,,Male,,
3090,2018,Iowa,Percent of adults aged 18 years and older who have obesity,41.4,1302.0,,45 - 54,,,,
3091,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,29.7,606.0,,,,,Data not reported,
3092,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,27.1,2764.0,,,,Female,,
3093,2018,Utah,Percent of adults aged 18 years and older who have obesity,30.3,1637.0,,,,,"$50,000 - $74,999",
3094,2018,Illinois,Percent of adults aged 18 years and older who have obesity,32.8,701.0,,,,,"$50,000 - $74,999",
3095,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,35.1,5224.0,Total,,,,,
3096,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,33.4,3341.0,,55 - 64,,,,
3097,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,29.6,5235.0,Total,,,,,
3098,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,35.9,1485.0,,,College graduate,,,
3099,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,34.3,1679.0,,,High school graduate,,,
3100,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,29.8,1251.0,,,,,"$50,000 - $74,999",
3101,2018,Colorado,Percent of adults aged 18 years and older who have obesity,30.4,56.0,,,,,,Other
3102,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,22.9,4625.0,,,College graduate,,,
3103,2018,Oregon,Percent of adults aged 18 years and older who have obesity,25.6,795.0,,,,,Data not reported,
3104,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,41.7,677.0,,45 - 54,,,,
3105,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,34.0,983.0,,55 - 64,,,,
3106,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,38.1,293.0,,,,,"Less than $15,000",
3108,2018,Illinois,Percent of adults aged 18 years and older who have obesity,36.7,382.0,,,Less than high school,,,
3109,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3110,2018,Vermont,Percent of adults aged 18 years and older who have obesity,28.0,666.0,,35 - 44,,,,
3112,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,41.5,734.0,,,,,"$15,000 - $24,999",
3114,2018,Washington,Percent of adults aged 18 years and older who have obesity,29.9,1272.0,,25 - 34,,,,
3115,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,28.0,314.0,,,Less than high school,,,
3116,2018,Nevada,Percent of adults aged 18 years and older who have obesity,29.6,380.0,,25 - 34,,,,
3117,2018,Guam,Percent of adults aged 18 years and older who have obesity,41.0,558.0,,,,,,Hawaiian/Pacific Islander
3118,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,40.6,626.0,,35 - 44,,,,
3119,2018,California,Percent of adults aged 18 years and older who have obesity,26.0,5733.0,,,,Male,,
3120,2018,California,Percent of adults aged 18 years and older who have obesity,30.1,2003.0,,55 - 64,,,,
3121,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,39.3,533.0,,,,,"Less than $15,000",
3122,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,37.3,180.0,,,,,"$75,000 or greater",
3123,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,Male,,
3124,2018,Missouri,Percent of adults aged 18 years and older who have obesity,37.6,792.0,,,,,"$50,000 - $74,999",
3125,2018,Guam,Percent of adults aged 18 years and older who have obesity,33.5,529.0,,,High school graduate,,,
3126,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hispanic
3127,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,45.7,2108.0,,,,,,Non-Hispanic Black
3128,2018,Alabama,Percent of adults aged 18 years and older who have obesity,38.4,937.0,,,,,"$15,000 - $24,999",
3129,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,35.2,189.0,,,,,,2 or more races
3130,2018,Oregon,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3131,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
3132,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,36.2,5901.0,,,,Female,,
3133,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,34.6,3680.0,,,,,,Non-Hispanic White
3135,2018,National,Percent of adults aged 18 years and older who have obesity,29.4,2862.0,,,,,,Other
3136,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,32.4,7929.0,,,,Male,,
3137,2018,Missouri,Percent of adults aged 18 years and older who have obesity,35.0,5802.0,Total,,,,,
3138,2018,Maryland,Percent of adults aged 18 years and older who have obesity,33.1,8871.0,,,,Female,,
3139,2018,Oregon,Percent of adults aged 18 years and older who have obesity,30.5,774.0,,35 - 44,,,,
3140,2018,Maryland,Percent of adults aged 18 years and older who have obesity,18.1,589.0,,18 - 24,,,,
3141,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3142,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,2.6,51.0,,,,,,Asian
3143,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,32.9,649.0,,45 - 54,,,,
3145,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,27.5,787.0,,,,,Data not reported,
3146,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,32.0,661.0,,,,,"$15,000 - $24,999",
3147,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
3148,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,47.5,933.0,,,,,,American Indian/Alaska Native
3149,2018,Maryland,Percent of adults aged 18 years and older who have obesity,25.6,2628.0,,,,,Data not reported,
3150,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,12.6,337.0,,18 - 24,,,,
3152,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,45.6,504.0,,,,,"Less than $15,000",
3153,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,12.3,1806.0,,,,,,Non-Hispanic White
3154,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,40.4,1498.0,,,High school graduate,,,
3155,2018,Alabama,Percent of adults aged 18 years and older who have obesity,33.5,1224.0,,,,,Data not reported,
3156,2018,Idaho,Percent of adults aged 18 years and older who have obesity,27.8,385.0,,25 - 34,,,,
3157,2018,Missouri,Percent of adults aged 18 years and older who have obesity,34.3,1845.0,,,High school graduate,,,
3158,2018,Indiana,Percent of adults aged 18 years and older who have obesity,34.2,1778.0,,,Some college or technical school,,,
3159,2018,Michigan,Percent of adults aged 18 years and older who have obesity,34.6,4919.0,,,,Female,,
3160,2018,Ohio,Percent of adults aged 18 years and older who have obesity,39.2,2722.0,,55 - 64,,,,
3161,2018,Montana,Percent of adults aged 18 years and older who have obesity,31.2,107.0,,,,,,2 or more races
3162,2018,Maine,Percent of adults aged 18 years and older who have obesity,29.2,5721.0,,,,Female,,
3163,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,37.8,980.0,,,,,"$35,000 - $49,999",
3164,2018,Maine,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3165,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,27.9,654.0,,,,,"$25,000 - $34,999",
3166,2018,Texas,Percent of adults aged 18 years and older who have obesity,32.4,1314.0,,25 - 34,,,,
3167,2018,Delaware,Percent of adults aged 18 years and older who have obesity,38.3,1002.0,,55 - 64,,,,
3168,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,27.7,5141.0,Total,,,,,
3169,2018,Delaware,Percent of adults aged 18 years and older who have obesity,37.9,520.0,,35 - 44,,,,
3170,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,36.6,2330.0,,,Some college or technical school,,,
3172,2018,Florida,Percent of adults aged 18 years and older who have obesity,30.3,1388.0,,25 - 34,,,,
3173,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,25.2,275.0,,18 - 24,,,,
3175,2018,Michigan,Percent of adults aged 18 years and older who have obesity,40.3,888.0,,,,,,Non-Hispanic Black
3176,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,25.2,1635.0,,,College graduate,,,
3177,2018,Arizona,Percent of adults aged 18 years and older who have obesity,26.1,3036.0,,65 or older,,,,
3178,2018,Iowa,Percent of adults aged 18 years and older who have obesity,25.4,78.0,,,,,,Asian
3180,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,13.0,459.0,,18 - 24,,,,
3181,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,32.0,4585.0,Total,,,,,
3184,2018,Florida,Percent of adults aged 18 years and older who have obesity,31.0,4165.0,,,Some college or technical school,,,
3186,2018,Vermont,Percent of adults aged 18 years and older who have obesity,23.0,1715.0,,,,,"$75,000 or greater",
3187,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,29.2,992.0,,,,,"$50,000 - $74,999",
3188,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,32.1,2072.0,,,,Male,,
3189,2018,Maine,Percent of adults aged 18 years and older who have obesity,35.4,1363.0,,,,,"$15,000 - $24,999",
3190,2018,Guam,Percent of adults aged 18 years and older who have obesity,31.7,204.0,,,,,"$50,000 - $74,999",
3191,2018,Colorado,Percent of adults aged 18 years and older who have obesity,21.8,2799.0,,65 or older,,,,
3192,2018,Virginia,Percent of adults aged 18 years and older who have obesity,13.4,202.0,,,,,,Asian
3193,2018,Alaska,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3194,2018,Montana,Percent of adults aged 18 years and older who have obesity,29.2,567.0,,35 - 44,,,,
3195,2018,California,Percent of adults aged 18 years and older who have obesity,24.8,267.0,,,,,,2 or more races
3196,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,32.8,1794.0,,65 or older,,,,
3197,2018,National,Percent of adults aged 18 years and older who have obesity,35.6,52704.0,,,,,"$15,000 - $24,999",
3198,2018,Kansas,Percent of adults aged 18 years and older who have obesity,36.0,945.0,,,,,"$25,000 - $34,999",
3199,2018,Utah,Percent of adults aged 18 years and older who have obesity,25.5,419.0,,,,,"Less than $15,000",
3200,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,29.2,717.0,,,,,"$35,000 - $49,999",
3201,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,36.5,689.0,,,,,,Non-Hispanic Black
3202,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,25.9,2012.0,,65 or older,,,,
3203,2018,Iowa,Percent of adults aged 18 years and older who have obesity,29.2,2800.0,,,College graduate,,,
3204,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3205,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,23.2,2522.0,,,,,"$75,000 or greater",
3206,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,30.5,2269.0,,,High school graduate,,,
3207,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,19.0,1117.0,,18 - 24,,,,
3208,2018,Alabama,Percent of adults aged 18 years and older who have obesity,37.8,3517.0,,,,Female,,
3209,2018,Illinois,Percent of adults aged 18 years and older who have obesity,35.5,445.0,,,,,"Less than $15,000",
3210,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,36.3,760.0,,35 - 44,,,,
3212,2018,Michigan,Percent of adults aged 18 years and older who have obesity,32.3,3082.0,,65 or older,,,,
3214,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,28.7,3500.0,,,,Female,,
3215,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,30.1,2494.0,,65 or older,,,,
3216,2018,Ohio,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3219,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3220,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.5,829.0,,,,,Data not reported,
3221,2018,Indiana,Percent of adults aged 18 years and older who have obesity,33.1,1644.0,,,,,"$75,000 or greater",
3223,2018,Alaska,Percent of adults aged 18 years and older who have obesity,21.2,159.0,,18 - 24,,,,
3224,2018,Utah,Percent of adults aged 18 years and older who have obesity,25.7,1480.0,,25 - 34,,,,
3226,2018,Washington,Percent of adults aged 18 years and older who have obesity,29.4,5710.0,,,,Male,,
3228,2018,Arizona,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3229,2018,Indiana,Percent of adults aged 18 years and older who have obesity,34.1,6885.0,Total,,,,,
3230,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
3231,2018,Georgia,Percent of adults aged 18 years and older who have obesity,38.7,1337.0,,45 - 54,,,,
3232,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,33.1,1807.0,,,,Male,,
3234,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
3235,2018,Oregon,Percent of adults aged 18 years and older who have obesity,31.3,1290.0,,,High school graduate,,,
3236,2018,Arizona,Percent of adults aged 18 years and older who have obesity,28.0,3920.0,,,,Female,,
3237,2018,Washington,Percent of adults aged 18 years and older who have obesity,31.2,956.0,,,,,"$25,000 - $34,999",
3238,2018,Illinois,Percent of adults aged 18 years and older who have obesity,30.1,2443.0,,,,Male,,
3239,2018,California,Percent of adults aged 18 years and older who have obesity,15.2,1042.0,,18 - 24,,,,
3241,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,31.3,1667.0,,,,,Data not reported,
3242,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,40.6,2077.0,,,,Male,,
3244,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,30.2,224.0,,,Less than high school,,,
3245,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,32.8,480.0,,,,,,Hispanic
3246,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,Some college or technical school,,,
3247,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,39.9,4292.0,,,,,,Non-Hispanic White
3248,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,28.3,1374.0,,,,,"$75,000 or greater",
3249,2018,National,Percent of adults aged 18 years and older who have obesity,35.0,27552.0,,,Less than high school,,,
3251,2018,Alaska,Percent of adults aged 18 years and older who have obesity,28.5,1256.0,,,,Female,,
3252,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,37.1,4963.0,Total,,,,,
3253,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3254,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,35.0,641.0,,,,,"$15,000 - $24,999",
3256,2018,Maryland,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3257,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,22.3,328.0,,25 - 34,,,,
3258,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,25.7,6092.0,Total,,,,,
3259,2018,Ohio,Percent of adults aged 18 years and older who have obesity,33.6,1236.0,,,,,"$25,000 - $34,999",
3260,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,31.2,1880.0,,,College graduate,,,
3261,2018,Missouri,Percent of adults aged 18 years and older who have obesity,45.3,522.0,,,,,,Non-Hispanic Black
3262,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,45.8,101.0,,,,,,2 or more races
3264,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,43.1,891.0,,35 - 44,,,,
3265,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,24.3,1110.0,,,,,"$75,000 or greater",
3266,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,46.8,125.0,,,,,,American Indian/Alaska Native
3267,2018,Texas,Percent of adults aged 18 years and older who have obesity,35.3,3602.0,,65 or older,,,,
3268,2018,Arizona,Percent of adults aged 18 years and older who have obesity,14.4,393.0,,18 - 24,,,,
3270,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3271,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3272,2018,Vermont,Percent of adults aged 18 years and older who have obesity,34.1,393.0,,,,,"Less than $15,000",
3273,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,26.2,151.0,,18 - 24,,,,
3274,2018,National,Percent of adults aged 18 years and older who have obesity,36.9,60363.0,,45 - 54,,,,
3275,2018,New York,Percent of adults aged 18 years and older who have obesity,30.3,3940.0,,35 - 44,,,,
3276,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
3277,2018,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
3278,2018,Delaware,Percent of adults aged 18 years and older who have obesity,35.8,1249.0,,,Some college or technical school,,,
3279,2018,Utah,Percent of adults aged 18 years and older who have obesity,31.2,2429.0,,,High school graduate,,,
3280,2018,Indiana,Percent of adults aged 18 years and older who have obesity,33.9,3055.0,,,,Male,,
3281,2018,New York,Percent of adults aged 18 years and older who have obesity,31.6,2338.0,,,Less than high school,,,
3282,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,36.8,6677.0,,,,,,Non-Hispanic White
3283,2018,Nevada,Percent of adults aged 18 years and older who have obesity,29.7,1466.0,,,,Male,,
3287,2018,Alaska,Percent of adults aged 18 years and older who have obesity,29.3,400.0,,,,,Data not reported,
3289,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,22.3,2276.0,,,College graduate,,,
3290,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,"$75,000 or greater",
3292,2018,Illinois,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
3293,2018,Kansas,Percent of adults aged 18 years and older who have obesity,32.4,485.0,,,Less than high school,,,
3295,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
3296,2018,Maine,Percent of adults aged 18 years and older who have obesity,38.6,1402.0,,45 - 54,,,,
3297,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,29.5,312.0,,18 - 24,,,,
3298,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,35.1,4256.0,,,Some college or technical school,,,
3299,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,34.0,654.0,,,,,,Hispanic
3300,2018,Alabama,Percent of adults aged 18 years and older who have obesity,29.4,1906.0,,,College graduate,,,
3301,2018,Guam,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
3302,2018,Virginia,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3303,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,26.6,140.0,,,Less than high school,,,
3305,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,24.9,586.0,,,,,"$35,000 - $49,999",
3306,2018,Missouri,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3307,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,38.9,576.0,,35 - 44,,,,
3308,2018,Arizona,Percent of adults aged 18 years and older who have obesity,31.0,3516.0,,,,Male,,
3309,2018,Virginia,Percent of adults aged 18 years and older who have obesity,33.6,1002.0,,,,,"$35,000 - $49,999",
3310,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.0,282.0,,,Less than high school,,,
3311,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,24.9,2225.0,,65 or older,,,,
3312,2018,Colorado,Percent of adults aged 18 years and older who have obesity,24.2,4114.0,,,,Female,,
3313,2018,Florida,Percent of adults aged 18 years and older who have obesity,32.0,1729.0,,,,,"$35,000 - $49,999",
3315,2018,Delaware,Percent of adults aged 18 years and older who have obesity,33.3,621.0,,,,,"$50,000 - $74,999",
3317,2018,Michigan,Percent of adults aged 18 years and older who have obesity,31.4,1108.0,,25 - 34,,,,
3318,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,30.3,601.0,,,Some college or technical school,,,
3319,2018,Alaska,Percent of adults aged 18 years and older who have obesity,33.4,598.0,,55 - 64,,,,
3320,2018,Utah,Percent of adults aged 18 years and older who have obesity,29.2,2406.0,,65 or older,,,,
3321,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,31.5,4616.0,,65 or older,,,,
3322,2018,Iowa,Percent of adults aged 18 years and older who have obesity,38.4,444.0,,,Less than high school,,,
3323,2018,Arizona,Percent of adults aged 18 years and older who have obesity,27.5,5192.0,,,,,,Non-Hispanic White
3324,2018,Guam,Percent of adults aged 18 years and older who have obesity,34.2,187.0,,,,,"$35,000 - $49,999",
3326,2018,Texas,Percent of adults aged 18 years and older who have obesity,40.4,1300.0,,,,,"$50,000 - $74,999",
3327,2018,Florida,Percent of adults aged 18 years and older who have obesity,31.1,6394.0,,,,Male,,
3328,2018,Ohio,Percent of adults aged 18 years and older who have obesity,33.3,2955.0,,,,,"$75,000 or greater",
3330,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
3331,2018,Nevada,Percent of adults aged 18 years and older who have obesity,32.8,347.0,,,,,"$35,000 - $49,999",
3332,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,43.7,80.0,,,,,,American Indian/Alaska Native
3333,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3334,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,28.4,2366.0,,,,Male,,
3336,2018,Indiana,Percent of adults aged 18 years and older who have obesity,31.8,581.0,,25 - 34,,,,
3337,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,26.6,524.0,,,,,Data not reported,
3338,2018,Georgia,Percent of adults aged 18 years and older who have obesity,26.2,3182.0,,,College graduate,,,
3339,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,35.4,498.0,,25 - 34,,,,
3340,2018,Nevada,Percent of adults aged 18 years and older who have obesity,43.6,126.0,,,,,,Non-Hispanic Black
3341,2018,Iowa,Percent of adults aged 18 years and older who have obesity,35.7,484.0,,,,,"Less than $15,000",
3342,2018,Vermont,Percent of adults aged 18 years and older who have obesity,25.5,2277.0,,65 or older,,,,
3343,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,34.7,78.0,,,,,,2 or more races
3344,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,26.6,53.0,,,,,,Asian
3345,2018,Idaho,Percent of adults aged 18 years and older who have obesity,29.5,487.0,,,,,"$35,000 - $49,999",
3348,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,39.2,1196.0,,,Some college or technical school,,,
3349,2018,National,Percent of adults aged 18 years and older who have obesity,18.1,23314.0,,18 - 24,,,,
3350,2018,Washington,Percent of adults aged 18 years and older who have obesity,34.6,184.0,,,,,,Non-Hispanic Black
3351,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,35.2,594.0,,,,,"$15,000 - $24,999",
3353,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,26.3,2379.0,,,College graduate,,,
3354,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,39.6,341.0,,25 - 34,,,,
3355,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,35.5,1216.0,,,,,,2 or more races
3356,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,30.8,1061.0,,,,,"$75,000 or greater",
3357,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,26.2,351.0,,,,,,Hispanic
3358,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,26.2,1189.0,,,High school graduate,,,
3359,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,39.8,908.0,,,,,"Less than $15,000",
3360,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,33.9,106.0,,,,,,Hispanic
3361,2018,Georgia,Percent of adults aged 18 years and older who have obesity,40.6,2024.0,,,,,,Non-Hispanic Black
3363,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,27.8,2252.0,,,,Female,,
3364,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,44.0,768.0,,,,,,Non-Hispanic Black
3365,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,34.4,125.0,,,,,,Other
3367,2018,Arizona,Percent of adults aged 18 years and older who have obesity,38.4,508.0,,,Less than high school,,,
3368,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,27.0,2924.0,,,,Male,,
3369,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
3370,2018,New York,Percent of adults aged 18 years and older who have obesity,33.7,2551.0,,,,,"Less than $15,000",
3371,2018,Ohio,Percent of adults aged 18 years and older who have obesity,32.2,811.0,,,Less than high school,,,
3372,2018,Utah,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3373,2018,Alaska,Percent of adults aged 18 years and older who have obesity,35.4,198.0,,,,,"$25,000 - $34,999",
3374,2018,Texas,Percent of adults aged 18 years and older who have obesity,25.0,93.0,,,,,,Other
3375,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.2,4240.0,,,,,,Non-Hispanic White
3376,2018,New York,Percent of adults aged 18 years and older who have obesity,18.0,1982.0,,18 - 24,,,,
3377,2018,National,Percent of adults aged 18 years and older who have obesity,35.2,1377.0,,,,,,Hawaiian/Pacific Islander
3379,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,12.0,183.0,,18 - 24,,,,
3380,2018,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3382,2018,Oregon,Percent of adults aged 18 years and older who have obesity,37.7,914.0,,45 - 54,,,,
3384,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,26.3,3656.0,,65 or older,,,,
3385,2018,Virginia,Percent of adults aged 18 years and older who have obesity,30.9,1127.0,,35 - 44,,,,
3386,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,23.9,117.0,,,,,,2 or more races
3387,2018,Vermont,Percent of adults aged 18 years and older who have obesity,32.0,976.0,,,,,"$50,000 - $74,999",
3388,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,33.1,1184.0,,55 - 64,,,,
3389,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,37.0,789.0,,25 - 34,,,,
3390,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,37.5,2070.0,,,,,"$35,000 - $49,999",
3391,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
3392,2018,New York,Percent of adults aged 18 years and older who have obesity,27.4,24554.0,,,,,,Non-Hispanic White
3394,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,39.3,608.0,,,,,"$50,000 - $74,999",
3395,2018,Georgia,Percent of adults aged 18 years and older who have obesity,34.7,1021.0,,,,,"$50,000 - $74,999",
3396,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,30.0,4633.0,,65 or older,,,,
3397,2018,Georgia,Percent of adults aged 18 years and older who have obesity,33.3,4493.0,,,,Female,,
3398,2018,Maine,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
3401,2018,Delaware,Percent of adults aged 18 years and older who have obesity,33.8,330.0,,,,,,Hispanic
3402,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,33.8,288.0,,,,,"Less than $15,000",
3403,2018,Virginia,Percent of adults aged 18 years and older who have obesity,38.6,1138.0,,,,,"$15,000 - $24,999",
3404,2018,Indiana,Percent of adults aged 18 years and older who have obesity,57.0,54.0,,,,,,American Indian/Alaska Native
3405,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,28.9,64.0,,,,,,2 or more races
